                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.95684,                0.88842,                 1.1064,                0.79284,                0.78803,                0.84113,                0.67483,                0.84258,                0.65265,                0.97928,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                0.92026,                 0.8284,                 1.0691,                0.84694,                0.75233,                0.84227,                0.67612,                0.83899,                0.64721,                0.97874,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                0.94038,                0.87156,                 1.1095,                0.75115,                0.82473,                 0.8463,                0.67836,                0.83599,                0.63804,                0.97745,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.92367,                0.82763,                 1.0872,                0.80933,                 0.7913,                0.85157,                0.68011,                0.83242,                0.63114,                0.97664,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.92556,                0.83008,                 1.0891,                0.81509,                 0.7874,                0.85172,                0.68307,                0.83067,                0.62456,                0.97576,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.89541,                0.82275,                  1.083,                 0.8169,                0.79895,                 0.8518,                0.68495,                0.83233,                0.62417,                0.97585,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                 0.9211,                0.80381,                 1.0638,                0.79816,                0.81507,                0.85902,                0.68829,                0.82994,                0.61866,                  0.973,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.92479,                0.83499,                 1.0711,                0.81697,                0.80918,                0.86094,                0.69203,                0.82488,                0.61449,                 0.9703,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.89805,                  0.789,                 1.0598,                0.81404,                0.81196,                0.86013,                0.69172,                0.81688,                0.61484,                0.96632,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.86416,                0.77462,                 1.0475,                0.88915,                0.77392,                 0.8619,                0.69199,                0.80786,                0.61305,                0.96354,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.93161,                0.81741,                 1.0548,                0.89222,                0.77107,                0.86207,                0.69656,                0.80474,                0.60856,                0.96149,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.89806,                0.80121,                  1.073,                0.88744,                0.77246,                0.86366,                0.69899,                0.80252,                0.60554,                0.95952,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.90874,                 0.7738,                 1.0454,                0.89348,                 0.7734,                0.86155,                0.70045,                0.79774,                0.60109,                0.95707,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.89163,                0.77563,                 1.0658,                0.89148,                 0.7755,                0.86406,                0.70264,                0.79524,                0.59734,                0.95519,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.88233,                0.78832,                 1.0605,                0.90983,                 0.7689,                0.86362,                0.70298,                0.79491,                0.59661,                0.95322,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                 0.9041,                 0.7859,                 1.0515,                0.89798,                0.78025,                0.86392,                0.70302,                0.79364,                0.59267,                0.95223,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.91937,                0.81315,                 1.0693,                 0.9001,                0.77831,                0.87163,                0.70854,                 0.7915,                0.58916,                0.95167,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                0.85345,                0.73445,                 1.0429,                0.84858,                0.81088,                0.86407,                0.70333,                0.79026,                0.58974,                 0.9504,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.91518,                0.76057,                 1.0612,                0.85957,                0.80408,                0.87358,                 0.7099,                0.78659,                0.58788,                 0.9493,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.87652,                0.76618,                 1.0599,                0.88894,                0.78853,                0.87244,                0.71011,                0.78304,                0.58401,                0.94836,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.87751,                0.75159,                 1.0331,                0.88664,                0.79502,                0.87612,                0.71503,                0.77872,                0.58074,                 0.9466,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.94135,                0.80706,                 1.0708,                0.88818,                 0.8003,                0.87847,                0.71871,                0.77245,                0.57954,                0.94405,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.86643,                0.74247,                 1.0426,                0.88951,                0.80988,                0.88019,                0.72305,                0.76942,                0.57642,                0.94382,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.87419,                0.74086,                 1.0534,                0.88481,                0.81071,                0.87997,                0.72034,                0.76395,                0.57014,                0.94204,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.85601,                0.75342,                 1.0631,                0.89179,                0.80493,                0.88206,                0.72319,                0.76139,                0.56357,                0.94075,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.86902,                0.71089,                 1.0382,                0.89763,                0.80229,                0.88306,                0.72748,                0.76095,                0.56082,                0.93988,             5.3026e-05,             5.3026e-05,             5.3026e-05
